GameID,FranchiseID
1,1
3,2
7,3
8,4
9,5
10,6
12,7
13,8
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,10
24,10
25.10
26,10
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,12
35,12
36,12
37,12
38,13
39,13
40,13
41,13
42,14
43,14
44,14
45,14
46,14
47,14
48,14
49,14
50,14
51,14
52,14
53,15
54,15
55,15
56,15
57,15
58,16
59,16
60,16
61,16
62,16
63,16
64,17
65,17
66,17
67,17
68,17
69,17
70,17
71,17
72,17
73,17
74,17
75,17
76,17
77,18
78,18
79,18
80,18
81,18
82,18