PlatformID,Name,Owner,ReleaseDate
1,Microsoft Windows 10,Microsoft,20/11/2015
2,macOS,Apple,24/11/2018
3,Xbox 360,Microsoft,22/11/2005
4,Xbox One,Microsoft,22/11/2013
5,PlayStation 3,Sony,11/11/2006
6,Linux,Linux,20/04/1991
7,PlayStation 4,Sony,15/11/2013
8,Nintendo DS,Nintendo,2/12/2004
9,Wii,Nintendo,19/11/2006
10,Nintendo Switch,Nintendo,03/03/2017
11,Android,Google,28/09/2006
12,iOS,Apple,29/06/2007
13,Xbox,Microsoft,15/11/2001
14,PlayStation,Sony,03/12/1994
15,Sega Saturn,Sega,22/11/1994
16,Game.com,Tiger Electronics,15/09/1997
17,GameCube,Nintendo,14/09/2001
18,Dreamcast,Sega,27/11/1998
19,Nintendo 64,Nintendo,23/06/1996
20,3DO,The 3DO Company,04/10/1993
21,MS-DOS,Microsoft,12/09/1981
22,PlayStation 2,Sony,04/03/2000
23,PlayStation Vita,Sony,17/12/2011
24,Wii U,Nintendo,18/11/2012